Threshold, ,   ,      ,Baseline Approach,           , ,      ,Disj 10  ,          , ,      ,Disj 30  ,          , ,      ,Disj 10 w/ Sample Data,          , ,      ,Disj 30 w/ Sample Data,          
         , ,Folds,Recall,Precision        ,Specificity, ,Recall,Precision,Specificty, ,Recall,Precision,Specificty, ,Recall,Precision             ,Specificty, ,Recall,Precision             ,Specificty
1.8, ,2,0.5185185185185185,0.56,0.6666666666666666, ,0.14814814814814814,0.6666666666666666,0.9393939393939394, ,0.1111111111111111,0.3333333333333333,0.8181818181818182, ,0.07407407407407407,0.3333333333333333,0.8787878787878788, ,0.1111111111111111,0.3,0.7878787878787878
1.8, ,3,0.5925925925925926,0.5161290322580645,0.5454545454545454, ,0.037037037037037035,1.0,1.0, ,0.2222222222222222,0.6666666666666666,0.9090909090909091, ,0.18518518518518517,0.45454545454545453,0.8181818181818182, ,0.14814814814814814,0.5714285714285714,0.9090909090909091
1.8, ,4,0.17647058823529413,0.5,0.7692307692307693, ,0.08823529411764706,0.5,0.8846153846153846, ,0.14705882352941177,0.4166666666666667,0.7307692307692307, ,0.11764705882352941,0.5,0.8461538461538461, ,0.20588235294117646,0.5384615384615384,0.7692307692307693
1.8, ,5,0.3939393939393939,0.6842105263157895,0.7777777777777778, ,0.24242424242424243,1.0,1.0, ,0.3939393939393939,0.8125,0.8888888888888888, ,0.24242424242424243,0.8,0.9259259259259259, ,0.3333333333333333,0.7857142857142857,0.8888888888888888
Average:            , , ,0.4121662876226771,0.5335493931962523,0.6486001453743389, ,0.11006549606955288,0.7,0.9518986389954133, ,0.24383182740180712,0.5791666666666666,0.8371281048700403, ,0.14455576727382,0.5175757575757576,0.8744550551002164, ,0.22866050634813312,0.5724542124542124,0.838759806501742
Standard Deviation: , , ,0.14200608711011153,0.09026543410515013,0.11776223848349497, ,0.07809172795131762,0.26666666666666666,0.043772891845250905, ,0.10970797844794285,0.1769730048466275,0.06250039552606028, ,0.06100911660566517,0.15381765646924161,0.038635257625876926, ,0.09515265163738647,0.1610861242220176,0.05455741285150519
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1.9, ,1,0.2777777777777778,0.5555555555555556,0.6666666666666666, ,0.1111111111111111,0.5,0.8333333333333334, ,0.25,0.6923076923076923,0.8333333333333334, ,0.1111111111111111,0.5,0.8333333333333334, ,0.25,0.6923076923076923,0.8333333333333334
1.9, ,2,0.5517241379310345,0.6153846153846154,0.6774193548387096, ,0.10344827586206896,0.75,0.967741935483871, ,0.3103448275862069,0.6923076923076923,0.8709677419354839, ,0.4827586206896552,0.45161290322580644,0.45161290322580644, ,0.3793103448275862,0.7333333333333333,0.8709677419354839
1.9, ,3,0.3888888888888889,0.6666666666666666,0.7083333333333334, ,0.0,0.0,0.9166666666666666, ,0.1388888888888889,0.625,0.875, ,0.027777777777777776,0.25,0.875, ,0.1388888888888889,0.5555555555555556,0.8333333333333334
1.9, ,4,0.5,0.36363636363636365,0.4166666666666667, ,0.20833333333333334,0.8333333333333334,0.9722222222222222, ,0.2916666666666667,0.7,0.9166666666666666, ,0.2916666666666667,0.4666666666666667,0.7777777777777778, ,0.375,0.8181818181818182,0.9444444444444444
1.9, ,5,0.4,0.43478260869565216,0.6285714285714286, ,0.08,0.5,0.9428571428571428, ,0.32,0.6666666666666666,0.8857142857142857, ,0.64,0.41025641025641024,0.34285714285714286, ,0.32,0.5333333333333333,0.8
Average:            , , ,0.42367816091954025,0.5272051619877708,0.6195314900153609, ,0.10057854406130266,0.5166666666666667,0.9265642601126473, ,0.2621800766283525,0.6752564102564101,0.8763364055299538, ,0.31066283524904215,0.4157071960297767,0.6561162314388121, ,0.292639846743295,0.6665423465423465,0.856415770609319
Standard Deviation: , , ,0.09516161610998322,0.11253937289257843,0.10458905697043092, ,0.06673797261155173,0.2905932629027116,0.050666905461563085, ,0.06615363483060191,0.027543522430444452,0.0268117412600747, ,0.22728203986253406,0.08772679196186253,0.21636561881696617, ,0.09000117959262144,0.10787226454625343,0.04941486472973763
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.0, ,1,0.5555555555555556,0.5769230769230769,0.6666666666666666, ,0.1111111111111111,0.42857142857142855,0.8787878787878788, ,0.37037037037037035,0.6666666666666666,0.8484848484848485, ,0.3333333333333333,0.391304347826087,0.5757575757575758, ,0.48148148148148145,0.65,0.7878787878787878
2.0, ,2,0.4666666666666667,0.5833333333333334,0.6666666666666666, ,0.06666666666666667,1.0,1.0, ,0.26666666666666666,1.0,1.0, ,0.1,0.75,0.9666666666666667, ,0.23333333333333334,0.7777777777777778,0.9333333333333333
2.0, ,3,0.3548387096774194,0.4230769230769231,0.4827586206896552, ,0.03225806451612903,1.0,1.0, ,0.16129032258064516,0.7142857142857143,0.9310344827586207, ,0.03225806451612903,0.5,0.9655172413793104, ,0.12903225806451613,0.6666666666666666,0.9310344827586207
2.0, ,4,0.1388888888888889,0.625,0.875, ,0.05555555555555555,0.3333333333333333,0.8333333333333334, ,0.1111111111111111,0.5,0.8333333333333334, ,0.05555555555555555,0.2857142857142857,0.7916666666666666, ,0.16666666666666666,0.6,0.8333333333333334
2.0, ,5,0.5,0.4482758620689655,0.5294117647058824, ,0.07692307692307693,0.4,0.9117647058823529, ,0.19230769230769232,0.5555555555555556,0.8823529411764706, ,0.19230769230769232,0.3125,0.6764705882352942, ,0.19230769230769232,0.5,0.8529411764705882
Average:            , , ,0.4031899641577061,0.5313218390804597,0.6441007437457742, ,0.06850289495450786,0.6323809523809525,0.924777183600713, ,0.2203492326072971,0.6873015873015873,0.8990411211506547, ,0.14269092914254206,0.4479037267080745,0.7952157477411028, ,0.24056428637073796,0.638888888888889,0.8677042227549328
Standard Deviation: , , ,0.14751925327989168,0.08021703360118629,0.13676092342388343, ,0.025965564171707128,0.3017469919742911,0.06627708910225799, ,0.09039789433111489,0.17399605848945676,0.06061058627344084, ,0.10992438838895083,0.16841570811175313,0.15535309103375375, ,0.12515776603027892,0.0905402168331705,0.05672619785573119
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2.1, ,1,0.38461538461538464,0.43478260869565216,0.6176470588235294, ,0.038461538461538464,0.3333333333333333,0.9411764705882353, ,0.15384615384615385,0.5714285714285714,0.9117647058823529, ,0.19230769230769232,0.2631578947368421,0.5882352941176471, ,0.23076923076923078,0.5,0.8235294117647058
2.1, ,2,0.3888888888888889,0.6363636363636364,0.6666666666666666, ,0.027777777777777776,0.5,0.9583333333333334, ,0.1388888888888889,0.625,0.875, ,0.08333333333333333,0.5,0.875, ,0.1388888888888889,0.625,0.875
