Protein,Sensitivity,Specificity

VpCD00672494,0.5,1.0

AmCD00672511,0.5033333333333333,0.9966666666666667

BvCD00672568,0.5,1.0

AmCD00672561,0.5,1.0

AmCD00672530,0.5,1.0

BvCD00672438,0.5,0.9966666666666667

AmCD00672510,0.5,0.9933333333333333

BvCD00672424,0.5033333333333333,0.9966666666666667

BvCD00672576,0.5,1.0

BvCD00672569,0.5033333333333333,1.0

AmCD00672538,0.5,1.0

VpCD00672446,0.5,1.0

VpCD00672447,0.5033333333333333,0.9966666666666667

VpCD00672448,0.5,0.9966666666666667

BvCD00672584,0.5,0.9966666666666667

BvCD00672577,0.5033333333333333,0.9966666666666667

AmCD00672546,0.5,1.0

BvCD00672454,0.5,1.0

BvCD00672455,0.5033333333333333,1.0

BvCD00672456,0.51,1.0

BvCD00672600,0.5,1.0

BvCD00672585,0.5,0.9966666666666667

AmCD00672554,0.5,1.0

BvCD00672464,0.5,1.0

BvCD00672433,0.5,1.0

BvCD00672458,0.5,0.9966666666666667

AmCD00672562,0.5,1.0

EcCD00783315,0.5066666666666667,1.0

EcCD00783300,0.5,1.0

HiCD00672472,0.56,0.9133333333333333

HiCD00672441,0.5,1.0

BvCD00672466,0.5,0.9966666666666667

BvCD00672578,0.5,0.9933333333333333

EcCD00783323,0.5033333333333333,1.0

EcCD00783308,0.5,1.0

HiCD00672480,0.5,0.9966666666666667

VpCD00672449,0.5133333333333333,0.99

HiCD00672474,0.5233333333333333,0.96

BvCD00672586,0.5033333333333333,0.9933333333333333

EcCD00783331,0.5166666666666667,1.0

EcCD00783316,0.5,1.0

HiCD00672488,0.5,0.9933333333333333

BvCD00672465,0.5,1.0

HiCD00672482,0.5033333333333333,0.9966666666666667

BvCD00672594,0.5,0.9966666666666667

EcCD00783339,0.5066666666666667,0.9933333333333333

EcCD00783324,0.5,0.99

VpCD00672496,0.5,0.99

HiCD00672481,0.5,0.9866666666666667

HiCD00672490,0.5033333333333333,1.0

HiCD00672602,0.53,0.96

BvCD00783363,0.5,1.0

EcCD00783332,0.5,1.0

AmCD00672504,0.5,0.99

VpCD00672497,0.5,0.9866666666666667

VpCD00672498,0.5033333333333333,0.9933333333333333

EcCD00783283,0.52,0.97

BvCD00783371,0.5033333333333333,0.9966666666666667

EcCD00783340,0.5433333333333333,0.9633333333333334

AmCD00672512,0.5,0.9933333333333333

AmCD00672505,0.5033333333333333,1.0

AmCD00672506,0.5033333333333333,0.9966666666666667

EcCD00783291,0.5,0.99

EcCD00783284,0.5033333333333333,1.0

BvCD00783364,0.5,1.0

BvCD00672425,0.5,1.0

AmCD00672513,0.5,1.0

AmCD00672514,0.5,1.0

EcCD00783299,0.5066666666666667,0.9966666666666667

EcCD00783292,0.5,0.9933333333333333

EcCD00783285,0.5033333333333333,0.9966666666666667

AmCD00672515,0.5,1.0

BvCD00672579,0.5,0.9966666666666667

AmCD00672564,0.5,0.9966666666666667

EcCD00783293,0.5,1.0

BfCD00783357,0.5,1.0

EcCD00783326,0.5233333333333333,0.99

AmCD00672523,0.5033333333333333,1.0

HiCD00672587,0.5,1.0

BvCD00672572,0.5,1.0

EcCD00783301,0.5,1.0

BvCD00783365,0.5033333333333333,1.0

EcCD00783334,0.51,0.9933333333333333

AmCD00672531,0.5033333333333333,0.9833333333333333

AmCD00672516,0.5,1.0

BvCD00672580,0.5,1.0

EcCD00783309,0.5,1.0

BvCD00783373,0.5,1.0

AmCD00783342,0.5233333333333333,0.9933333333333333

AmCD00672539,0.5,1.0

AmCD00672524,0.5033333333333333,1.0

AmCD00672517,0.5,1.0

EcCD00783317,0.5033333333333333,0.99

EcCD00783286,0.5,1.0

BvCD00783366,0.5,0.99

AmCD00672547,0.5,1.0

AmCD00672532,0.5,1.0

AmCD00672525,0.5,1.0

EcCD00783325,0.5033333333333333,0.9966666666666667

EcCD00783294,0.5,1.0

BvCD00783374,0.5,1.0

AmCD00672555,0.5,1.0

AmCD00672540,0.5,0.9933333333333333

AmCD00672533,0.5066666666666667,1.0

EcCD00783333,0.5,1.0

EcCD00783302,0.6066666666666667,0.89

EcCD00783311,0.5233333333333333,0.9933333333333333

AmCD00672563,0.5,1.0

AmCD00672548,0.5166666666666667,0.9966666666666667

AmCD00672541,0.5,0.9966666666666667

EcCD00783341,0.5,1.0

EcCD00783310,0.5,0.9966666666666667

EcCD00783319,0.5,1.0

BvCD00672571,0.5,0.9966666666666667

AmCD00672556,0.5033333333333333,1.0

AmCD00672549,0.5,1.0

BfCD00783349,0.5066666666666667,1.0

EcCD00783318,0.5,0.9966666666666667

EcCD00783327,0.5,1.0

AmCD00783343,0.5,1.0

BvCD00783360,0.5,1.0

BvCD00783361,0.5033333333333333,0.9933333333333333

CdCD00783587,0.5,1.0

CdCD00783572,0.5,0.9966666666666667

CdCD00783573,0.5,1.0

BvCD00783367,0.5033333333333333,1.0

BvCD00783376,0.5,1.0

BvCD00783377,0.5,1.0

CdCD00783595,0.5,1.0

CdCD00783588,0.5,1.0

CkCD00783581,0.5,1.0

BvCD00783375,0.5,0.9933333333333333

EcCD00783289,0.5,1.0

EcCD00783290,0.5066666666666667,0.9966666666666667

CdCD00783603,0.5033333333333333,1.0

CdCD00783596,0.5,1.0

CdCD00783589,0.5,1.0

EcCD00783288,0.5,1.0

EcCD00783305,0.5,1.0

EcCD00783298,0.5,1.0

CkCD00783611,0.5,0.9933333333333333

CdCD00783604,0.5033333333333333,0.9933333333333333

CdCD00783597,0.5,1.0

EcCD00783296,0.5033333333333333,1.0

EcCD00783313,0.5,1.0

EcCD00783306,0.5,1.0

CkCD00783619,0.5033333333333333,1.0

CkCD00783612,0.5,1.0

CdCD00783605,0.5033333333333333,1.0

EcCD00783312,0.5,0.9833333333333333

EcCD00783321,0.5,0.99

EcCD00783314,0.5033333333333333,0.99

PcCD00783635,0.5,1.0

CkCD00783628,0.5,1.0

CkCD00783613,0.5,0.9966666666666667

EcCD00783320,0.51,1.0

EcCD00783337,0.5,1.0

EcCD00783322,0.5033333333333333,0.9966666666666667

CdCD00783651,0.5,1.0

PcCD00783636,0.5,1.0

CkCD00783621,0.5033333333333333,0.9966666666666667

EcCD00783328,0.5033333333333333,1.0

BfCD00783345,0.5,1.0

EcCD00783330,0.5,1.0

CkCD00783659,0.5066666666666667,1.0

CdCD00783652,0.5,1.0

CkCD00783629,0.5,1.0

EcCD00783338,0.5,1.0

CkCD00783403,0.5,1.0

CkCD00783396,0.5,1.0

VpCD00783645,0.5,1.0

CkCD00783630,0.5,1.0

CkCD00783615,0.5,1.0

BfCD00783346,0.5,1.0

HiCD00783411,0.5033333333333333,1.0

HiCD00783412,0.52,0.9833333333333333

CdCD00783653,0.5,1.0

PcCD00783638,0.5,1.0

CkCD00783623,0.5,1.0

BfCD00783354,0.5,1.0

PgCD00783419,0.5,1.0

PgCD00783428,0.5,1.0

CdCD00783661,0.5,0.99

HiCD00783646,0.7233333333333334,0.7466666666666667

PcCD00783639,0.5066666666666667,1.0

BvCD00783362,0.5033333333333333,1.0

PgCD00783427,0.5066666666666667,0.9966666666666667

VpCD00783436,0.5,1.0

CkCD00783574,0.5,0.9933333333333333

BfCD00783654,0.5,1.0

CdCD00783584,0.5,0.9966666666666667

BvCD00783370,0.5,1.0

VpCD00783435,0.5,1.0

VpCD00783444,0.5,1.0

CdCD00783582,0.5,0.9966666666666667

CkCD00783575,0.5,0.9966666666666667

CdCD00783592,0.5,1.0

BvCD00783378,0.5,0.9933333333333333

VpCD00783443,0.5,0.9966666666666667

BfCD00783452,0.52,0.9966666666666667

CdCD00783590,0.5,0.9933333333333333

CdCD00783583,0.5,1.0

CdCD00783608,0.5,0.9966666666666667

BvCD00783387,0.5,1.0

BvCD00783467,0.5,0.9966666666666667

BfCD00783460,0.5066666666666667,1.0

CdCD00783598,0.5033333333333333,0.9966666666666667

CdCD00783591,0.5033333333333333,1.0

CkCD00783616,0.5,1.0

CkCD00783395,0.5,1.0

BvCD00783388,0.5,1.0

BvCD00783468,0.5,1.0

CkCD00783614,0.5033333333333333,0.9966666666666667

CdCD00783607,0.5,1.0

CkCD00783624,0.5,1.0

BvCD00783389,0.5,1.0

BvCD00783469,0.5,1.0

CkCD00783391,0.51,0.9966666666666667

PgCD00783632,0.5,1.0

PgCD00783633,0.5133333333333333,0.9966666666666667

CkCD00783618,0.5,1.0

CkCD00783397,0.51,0.99

BvCD00783382,0.5,1.0

CkCD00783399,0.5033333333333333,1.0

BfCD00783656,0.5033333333333333,0.9966666666666667

PcCD00783641,0.5033333333333333,0.99

CkCD00783626,0.5,1.0

CkCD00783405,0.5,1.0

CkCD00783398,0.5,1.0

CkCD00783407,0.5033333333333333,1.0

CdCD00783664,0.5,1.0

CdCD00783649,0.5,1.0

PcCD00783642,0.5,1.0

PgCD00783413,0.5133333333333333,0.9966666666666667

CkCD00783406,0.5133333333333333,0.9966666666666667

PgCD00783415,0.5066666666666667,1.0

CdCD00783585,0.5,1.0

CkCD00783657,0.5033333333333333,1.0

CdCD00783650,0.5,0.9966666666666667

VpCD00783437,0.5,1.0

HiCD00783438,0.5833333333333334,0.9333333333333333

VpCD00783439,0.5,0.9966666666666667

CdCD00783593,0.5033333333333333,1.0

CdCD00783665,0.5033333333333333,1.0

CkCD00783658,0.5,1.0

VpCD00783445,0.5,1.0

BfCD00783446,0.5,0.9933333333333333

BfCD00783447,0.51,0.9966666666666667

CdCD00783609,0.5,1.0

CkCD00783578,0.5,0.9933333333333333

CdCD00783666,0.5,1.0

BfCD00783453,0.5,1.0

BfCD00783462,0.5,1.0

BfCD00783455,0.5033333333333333,1.0

CkCD00783617,0.5066666666666667,0.9966666666666667

CdCD00783586,0.5033333333333333,1.0

KpCD00783895,0.5,1.0

BfCD00783461,0.5,1.0

BvCD00783383,0.5,1.0

BfCD00783463,0.5,1.0

CkCD00783625,0.5066666666666667,1.0

CdCD00783602,0.5,0.9966666666666667

KpCD00783903,0.5,1.0

BvCD00783384,0.5,1.0

BfCD00783464,0.5,0.9966666666666667

PgCD00783418,0.5066666666666667,0.9933333333333333

AmCD00783911,0.5,1.0

KpCD00783896,0.52,0.98

KpCD00783889,0.5,1.0

CkCD00783392,0.5,1.0

CkCD00783393,0.5033333333333333,1.0

PgCD00783426,0.5,1.0

BfCD00783927,0.5033333333333333,1.0

KpCD00783904,0.5,1.0

KpCD00783897,0.5,1.0

CkCD00783400,0.5,1.0

CkCD00783401,0.5,1.0

VpCD00783434,0.5066666666666667,0.9933333333333333

BfCD00783935,0.5033333333333333,1.0

AmCD00783912,0.5,0.99

KpCD00783905,0.5,1.0

HiCD00783408,0.5266666666666666,0.9533333333333334

HiCD00783409,0.5233333333333333,0.9733333333333334

BfCD00783458,0.5,1.0

BfCD00783943,0.5,1.0

BfCD00783928,0.5,1.0

BfCD00783913,0.5,1.0

PgCD00783416,0.5066666666666667,1.0

PgCD00783417,0.5133333333333333,1.0

BvCD00783466,0.5,1.0

BfCD00783951,0.5,1.0

BfCD00783944,0.5,1.0

BfCD00783921,0.5,1.0

PgCD00783432,0.5,0.99

VpCD00783441,0.5033333333333333,1.0

BvCD00783474,0.5,0.99

CkCD00783967,0.5,1.0

BfCD00783960,0.5033333333333333,0.9933333333333333

BfCD00783929,0.5,1.0

VpCD00783440,0.5,0.9966666666666667

CkCD00783394,0.5066666666666667,0.9966666666666667

CdCD00783571,0.5,1.0

CkCD00783975,0.5,0.9966666666666667

CkCD00783968,0.5,1.0

BfCD00783937,0.5033333333333333,1.0

BfCD00783456,0.5,1.0

HiCD00783410,0.5,1.0

CkCD00783579,0.5,1.0

KpCD00783888,0.5,0.9966666666666667

CkCD00783976,0.5,1.0

BfCD00783961,0.5033333333333333,0.9966666666666667

CkCD00783969,0.6966666666666667,0.8366666666666667

BfCD00783915,0.5,1.0

BfCD00783916,0.5033333333333333,1.0

LbCD00811442,0.5,0.9966666666666667

BvCD00811522,0.5033333333333333,1.0

KpCD00783890,0.5133333333333333,0.9966666666666667

BfCD00783939,0.5,1.0

BfCD00783932,0.5033333333333333,1.0

BvCD00811473,0.5,1.0

LbCD00811450,0.5,1.0

CjCD00811523,0.5033333333333333,0.9933333333333333

KpCD00783906,0.5,0.9966666666666667

BfCD00783947,0.5,1.0

BfCD00783940,0.5033333333333333,1.0

BvCD00811481,0.5,1.0

CjCD00811531,0.5,0.9966666666666667

BfCD00783930,0.5,1.0

BfCD00783955,0.5033333333333333,0.9966666666666667

BfCD00783948,0.5033333333333333,1.0

BvCD00811489,0.5033333333333333,0.9833333333333333

KpCD00811539,0.5,1.0

BfCD00783954,0.5,1.0

BfCD00783963,0.5,1.0

BfCD00783956,0.5,1.0

BvCD00811497,0.5,1.0

BvCD00811474,0.5,0.9966666666666667

BbCD00811555,0.5066666666666667,1.0

CkCD00783978,0.5,1.0

CkCD00783971,0.5,1.0

CkCD00783964,0.5,1.0

BvCD00811513,0.5,0.9966666666666667

BvCD00811482,0.5,1.0

DfCD00811579,0.5,0.9966666666666667

KpCD00783891,0.5,1.0

KpCD00783892,0.5,1.0

CkCD00783972,0.5,1.0

BvCD00811521,0.5,0.9966666666666667

BvCD00811490,0.5033333333333333,1.0

DfCD00811587,0.5,0.9966666666666667

KpCD00783907,0.5,0.9966666666666667

KpCD00783900,0.5,1.0

CkCD00783980,0.5,1.0

PcCD00811434,0.5033333333333333,0.99

BvCD00811514,0.5,1.0

DfCD00811595,0.5,0.9966666666666667

KpCD00783893,0.5,1.0

CkCD00783973,0.5,1.0

BfCD00783958,0.5,1.0

CjCD00811524,0.5,1.0

ErCD00811612,0.5,1.0

ErCD00811605,0.5,1.0

KpCD00783901,0.5033333333333333,1.0

CkCD00783981,0.5,1.0

CkCD00783966,0.5,1.0

CjCD00811532,0.5033333333333333,1.0

CjCD00811525,0.51,0.9966666666666667

ErCD00811613,0.5033333333333333,1.0

BfCD00783925,0.5,1.0

KpCD00783894,0.5,1.0

CkCD00783982,0.5,1.0

KpCD00811540,0.5033333333333333,0.9966666666666667

CjCD00811533,0.5066666666666667,0.9966666666666667

CjCD00811526,0.5,0.9966666666666667

BfCD00783933,0.5,0.9966666666666667

KpCD00783902,0.5,1.0

LbCD00811443,0.5,1.0

KpCD00811548,0.5,1.0

KpCD00811541,0.5,1.0

KpCD00811534,0.5,1.0

BfCD00783941,0.5,0.9966666666666667

AmCD00783910,0.5,0.9966666666666667

LbCD00811451,0.5,1.0

BbCD00811556,0.51,0.99

PcCD00811549,0.5,1.0

BbCD00811558,0.5,1.0

BfCD00783949,0.5,0.9966666666666667

BfCD00783926,0.5066666666666667,0.9966666666666667

LbCD00811564,0.5,0.9966666666666667

BbCD00811557,0.5033333333333333,0.9933333333333333

LbCD00811566,0.5033333333333333,0.9966666666666667

BfCD00783957,0.5,1.0

BfCD00783934,0.5,1.0

BvCD00811475,0.5,0.9966666666666667

DfCD00811580,0.5,1.0

DfCD00811581,0.5066666666666667,0.9966666666666667

DfCD00811582,0.5033333333333333,0.9966666666666667

CkCD00783965,0.5066666666666667,0.9966666666666667

BfCD00783942,0.5,1.0

BvCD00811483,0.5,1.0

DfCD00811604,0.5033333333333333,1.0

DfCD00811589,0.5,1.0

DfCD00811590,0.5,1.0

BvCD00811507,0.5,1.0

BvCD00811476,0.5,1.0

ErCD00811606,0.5,1.0

DfCD00811583,0.5,1.0

LbCD00811568,0.5,1.0

BvCD00811515,0.5,1.0

BvCD00811492,0.5,1.0

BvCD00811469,0.5066666666666667,1.0

ErCD00811614,0.5,1.0

DfCD00811591,0.5,1.0

DfCD00811576,0.5,0.9966666666666667

PcCD00811428,0.5,0.9933333333333333

BvCD00811508,0.5,1.0

BvCD00811477,0.5,1.0

CjCD00811527,0.5,0.9966666666666667

ErCD00811607,0.5,0.9966666666666667

DfCD00811584,0.5,1.0

VpCD00811436,0.5,0.9966666666666667

BvCD00811516,0.5033333333333333,0.9933333333333333

BvCD00811485,0.5,1.0

KpCD00811535,0.5,1.0

CjCD00811528,0.5,1.0

DfCD00811592,0.5033333333333333,0.9966666666666667

LbCD00811444,0.5,1.0

PcCD00811429,0.5,1.0

BvCD00811501,0.5,1.0

KpCD00811543,0.5,0.9966666666666667

KpCD00811536,0.5,1.0

DfCD00811600,0.5,1.0

KpCD00811452,0.5,1.0

LbCD00811437,0.5,1.0

LbCD00811446,0.5,1.0

BbCD00811559,0.5,0.9966666666666667

KpCD00811544,0.5033333333333333,1.0

ErCD00811608,0.5033333333333333,0.9966666666666667

LbCD00811445,0.5,1.0

LbCD00811454,0.5033333333333333,0.9933333333333333

LbCD00811567,0.5,1.0

ErCD00811616,0.5,1.0

LbCD00811468,0.5,1.0

KpCD00811453,0.5066666666666667,1.0

DfCD00811575,0.5033333333333333,1.0

LbCD00811560,0.5033333333333333,1.0

KpCD00811537,0.5033333333333333,1.0

BvCD00811494,0.5,1.0

BvCD00811471,0.5,1.0

BvCD00811472,0.5,0.9966666666666667

KpCD00811545,0.5033333333333333,0.9966666666666667

BbCD00811554,0.5,1.0

ErCD00811635,0.5,1.0

BvCD00811502,0.5,1.0

BvCD00811479,0.5066666666666667,1.0

BvCD00811480,0.5033333333333333,1.0

LbCD00811562,0.5033333333333333,1.0

FpCD00811643,0.5,1.0

BvCD00811518,0.5,0.9866666666666667

BvCD00811495,0.5166666666666667,0.9933333333333333

BvCD00811488,0.5,1.0

LbCD00811561,0.5,1.0

DfCD00811578,0.5,1.0

GhCD00811667,0.5566666666666666,0.94

PcCD00811431,0.5033333333333333,1.0

BvCD00811511,0.5,1.0

BvCD00811512,0.5,0.9933333333333333

DfCD00811577,0.51,0.9866666666666667

DfCD00811586,0.5,1.0

GhCD00811675,0.7166666666666667,0.7833333333333333

LbCD00811439,0.5,1.0

BvCD00811519,0.5066666666666667,0.98

BvCD00811520,0.5,1.0

DfCD00811585,0.5,0.9933333333333333

DfCD00811594,0.5,1.0

GhCD00811683,0.5033333333333333,0.99

LbCD00811447,0.5,0.99

LbCD00811440,0.5,0.9966666666666667

LbCD00811441,0.5066666666666667,0.9833333333333333

ErCD00811609,0.5,1.0

ErCD00811610,0.5066666666666667,1.0

PaCD00811691,0.5,1.0

KpCD00811455,0.5066666666666667,1.0

LbCD00811448,0.5,0.99

LbCD00811449,0.5,1.0

ErCD00811617,0.5,1.0

ErCD00811618,0.5,1.0

ErCD00811620,0.5,1.0

KpCD00811546,0.5,1.0

ErCD00811619,0.5,1.0

ErCD00811628,0.5,1.0

FpCD00811636,0.5,0.9966666666666667

ErCD00811621,0.5066666666666667,0.9933333333333333

PaCD00811709,0.5033333333333333,0.99

ErCD00811805,0.5,1.0

SfCD00811782,0.5,1.0

SfCD00811767,0.5,1.0

FpCD00811644,0.5,1.0

FpCD00811637,0.5066666666666667,1.0

ErCD00811630,0.5066666666666667,0.9966666666666667

SfCD00811718,0.5033333333333333,0.9966666666666667

SfCD00811798,0.5,1.0

SfCD00811775,0.5133333333333333,0.9966666666666667

FpCD00811652,0.5,1.0

FpCD00811653,0.5,1.0

FpCD00811646,0.5,1.0

SfCD00811726,0.51,0.99

SfCD00811719,0.5,1.0

SfCD00811783,0.5033333333333333,0.9933333333333333

GhCD00811660,0.5,0.9966666666666667

GhCD00811661,0.5033333333333333,1.0

FpCD00811654,0.5,0.9966666666666667

SfCD00811734,0.5,0.9866666666666667

SfCD00811727,0.5,1.0

SfCD00811791,0.5,0.9966666666666667

GhCD00811668,0.5,0.9933333333333333

GhCD00811669,0.5,0.9833333333333333

GhCD00811662,0.7133333333333334,0.73

SfCD00811742,0.5,0.9933333333333333

SfCD00811735,0.5,0.9966666666666667

ErCD00811799,0.5,0.9966666666666667

GhCD00811676,0.5,1.0

GhCD00811677,0.5,1.0

GhCD00811670,0.5366666666666666,0.9366666666666666

SfCD00811750,0.5,0.9966666666666667

SfCD00811743,0.5,0.9966666666666667

ErCD00811807,0.5033333333333333,1.0

PaCD00811684,0.5,1.0

PaCD00811685,0.5033333333333333,1.0

PaCD00811686,0.5,1.0

SfCD00811766,0.5,0.9966666666666667

SfCD00811751,0.5,1.0

SfCD00811720,0.5,1.0

PaCD00811708,0.5,1.0

PaCD00811693,0.5,1.0

PaCD00811694,0.5033333333333333,0.9966666666666667

SfCD00811774,0.5033333333333333,1.0

SfCD00811759,0.5033333333333333,1.0

SfCD00811728,0.5,1.0

PaCD00811702,0.5066666666666667,1.0

PaCD00811687,0.5,1.0

GhCD00811672,0.5233333333333333,0.97

SfCD00811736,0.5,1.0

ErCD00811800,0.5,1.0

SfCD00811777,0.5,1.0

SfCD00811710,0.52,0.9733333333333334

PaCD00811695,0.5066666666666667,1.0

GhCD00811680,0.5066666666666667,1.0

SfCD00811744,0.5,0.9966666666666667

ErCD00811808,0.5,1.0

SfCD00811785,0.5033333333333333,0.9966666666666667

ErCD00811623,0.5,0.9966666666666667

SfCD00811711,0.5,0.9966666666666667

PaCD00811688,0.5,1.0

SfCD00811752,0.5,1.0

SfCD00811721,0.5,0.9966666666666667

SfCD00811793,0.5,0.9966666666666667

ErCD00811631,0.5,0.9933333333333333

ErCD00811624,0.5,0.9966666666666667

SfCD00811712,0.5033333333333333,0.9966666666666667

SfCD00811760,0.5,1.0

SfCD00811729,0.5,0.9933333333333333

ErCD00811801,0.5,1.0

FpCD00811655,0.5,1.0

ErCD00811632,0.5033333333333333,0.9833333333333333

ErCD00811625,0.5,1.0

SfCD00811768,0.5,0.9933333333333333

SfCD00811745,0.5033333333333333,0.9966666666666667

ErCD00811809,0.5,0.9933333333333333

GhCD00811663,0.5,0.99

FpCD00811640,0.5033333333333333,0.9966666666666667

FpCD00811641,0.5033333333333333,1.0

SfCD00811776,0.51,0.9733333333333334

SfCD00811753,0.5,1.0

SfCD00811722,0.5033333333333333,0.9966666666666667

GhCD00811671,0.5,1.0

FpCD00811648,0.5,1.0

FpCD00811649,0.5,1.0

SfCD00811784,0.5,1.0

SfCD00811761,0.5,1.0

SfCD00811730,0.5,1.0

GhCD00811679,0.5,1.0

FpCD00811656,0.5,1.0

FpCD00811657,0.5,1.0

SfCD00811792,0.5033333333333333,0.9933333333333333

SfCD00811769,0.5,1.0

SfCD00811746,0.5,1.0

GhCD00811665,0.5,1.0

FpCD00811642,0.5,1.0

SfCD00811714,0.5,1.0

SfCD00811754,0.5066666666666667,0.99

HiCD00672611,0.5,1.0

CdCD00783028,0.5,1.0

GhCD00811673,0.5,0.9966666666666667

FpCD00811650,0.5,1.0

SfCD00811715,0.5,1.0

SfCD00811762,0.5,0.99

HiCD00672619,0.5166666666666667,0.9833333333333333

CdCD00783036,0.5,1.0

GhCD00811681,0.5,1.0

GhCD00811658,0.5,1.0

SfCD00811723,0.5,0.9933333333333333

SfCD00811770,0.5,0.9966666666666667

AmCD00672627,0.5066666666666667,1.0

CdCD00783044,0.5,1.0

PaCD00811697,0.5,0.9866666666666667

GhCD00811666,0.5,0.9866666666666667

SfCD00811731,0.5033333333333333,0.9933333333333333

SfCD00811778,0.5,1.0

AmCD00672635,0.5,1.0

HiCD00672612,0.5,1.0

PaCD00811705,0.5,0.9966666666666667

GhCD00811674,0.5,0.9966666666666667

SfCD00811739,0.5,0.9933333333333333

SfCD00811786,0.51,0.9833333333333333

AmCD00672643,0.5,1.0

VpCD00672620,0.5033333333333333,1.0

SfCD00811713,0.5,0.9966666666666667

GhCD00811682,0.5,0.9833333333333333

SfCD00811747,0.5033333333333333,1.0

SfCD00811794,0.5033333333333333,1.0

CdCD00783004,0.5,1.0

AmCD00672636,0.5,1.0

ErCD00811626,0.5,1.0

PaCD00811690,0.5,0.9966666666666667

SfCD00811755,0.5066666666666667,1.0

ErCD00811802,0.5,0.9966666666666667

PcCD00783012,0.5,1.0

BvCD00672644,0.5,1.0

ErCD00811634,0.5,1.0

PaCD00811706,0.5,1.0

SfCD00811763,0.51,0.9933333333333333

ErCD00811810,0.5033333333333333,1.0

CdCD00783020,0.5,1.0

BfCD00782997,0.5,0.9966666666666667

SfCD00811771,0.5,1.0

SfCD00811748,0.5,1.0

SfCD00811717,0.5033333333333333,0.9966666666666667

CdCD00783005,0.5033333333333333,1.0

BfCD00782998,0.5,1.0

AmCD00672638,0.5,0.9966666666666667

SfCD00811779,0.5,0.9933333333333333

SfCD00811756,0.5,1.0

SfCD00811725,0.5,1.0

CdCD00783021,0.5,1.0

CdCD00783006,0.5,0.9966666666666667

BvCD00672646,0.5,1.0

SfCD00811787,0.5,0.9966666666666667

SfCD00811764,0.5,1.0

SfCD00811741,0.5,1.0

CdCD00783029,0.5,1.0

BvCD00783014,0.5,1.0

BfCD00782999,0.5,1.0

SfCD00811795,0.5033333333333333,0.99

SfCD00811772,0.5,0.9966666666666667

SfCD00811749,0.5066666666666667,0.9966666666666667

PcCD00783045,0.5,1.0

CdCD00783022,0.5,1.0

CdCD00783007,0.5,1.0

ErCD00811803,0.5,1.0

SfCD00811780,0.5233333333333333,0.97

SfCD00811765,0.5,0.9966666666666667

VpCD00672621,0.5,1.0

PcCD00783046,0.5,1.0

BvCD00783015,0.5,1.0

SfCD00811716,0.5,1.0

SfCD00811788,0.5,0.9966666666666667

SfCD00811773,0.5,1.0

AmCD00672629,0.5,1.0

HiCD00672614,0.5,1.0

CdCD00783023,0.5,1.0

SfCD00811732,0.6133333333333333,0.89

SfCD00811796,0.5,1.0

SfCD00811781,0.5033333333333333,1.0

AmCD00672637,0.5,1.0

VpCD00672622,0.5,1.0

CdCD00783031,0.5,1.0

SfCD00811740,0.5,1.0

ErCD00811804,0.5,1.0

SfCD00811789,0.5,0.9966666666666667

BvCD00672645,0.5,0.9966666666666667

AmCD00672630,0.5,1.0

CdCD00783039,0.5,1.0

PcCD00783047,0.5,1.0

CdCD00783024,0.5033333333333333,1.0

CdCD00783001,0.5,1.0

KpCD00783139,0.5,1.0

KpCD00783124,0.5,1.0

EcCD00783073,0.57,0.94

HiCD00672615,0.5,1.0

CdCD00783032,0.5,1.0

CdCD00783009,0.5,1.0

KpCD00783147,0.5,1.0

KpCD00783132,0.5,0.9966666666666667

KpCD00783109,0.5,0.9966666666666667

VpCD00672623,0.5066666666666667,1.0

CdCD00783040,0.5,1.0

CdCD00783025,0.5,1.0

LbCD00783155,0.5,1.0

KpCD00783140,0.5,1.0

KpCD00783117,0.5,1.0

AmCD00672631,0.5,1.0

HiCD00672616,0.5,1.0

CdCD00783033,0.5,1.0

LbCD00783163,0.5,1.0

KpCD00783148,0.5,0.99

