Protein,Sensitivity,Specificity
HpCD00780586,0.5033333333333333,0.99

HpCD00780594,0.5033333333333333,0.9966666666666667

HpCD00780602,0.5066666666666667,0.9933333333333333

HpCD00780491,0.5066666666666667,0.9966666666666667

HpCD00780499,0.5,1.0

HpCD00780507,0.5,0.9933333333333333

HpCD00780587,0.5,0.9966666666666667

HpCD00780595,0.5,0.9966666666666667

HpCD00780603,0.5033333333333333,1.0

HpCD00780492,0.5,0.9933333333333333

HpCD00780500,0.5033333333333333,1.0

HpCD00780508,0.5,0.9966666666666667

HpCD00780588,0.5,0.9966666666666667

HpCD00780596,0.5,1.0

HpCD00780604,0.5,1.0

HpCD00780493,0.5033333333333333,1.0

HpCD00780501,0.5,1.0

HpCD00780509,0.5033333333333333,0.9966666666666667

HpCD00780589,0.5,0.9933333333333333

HpCD00780597,0.5,1.0

HpCD00780605,0.5,1.0

HpCD00780494,0.5066666666666667,1.0

HpCD00780502,0.5,1.0

HpCD00780510,0.5,0.9966666666666667

HpCD00780590,0.52,0.99

HpCD00780598,0.5,0.9966666666666667

HpCD00780606,0.5,0.9966666666666667

HpCD00780607,0.5,1.0

HpCD00780615,0.5,1.0

HpCD00780623,0.5,1.0

HpCD00780703,0.5,1.0

HpCD00780711,0.5,1.0

HpCD00780719,0.5,1.0

HpCD00780608,0.5,1.0

HpCD00780616,0.5,1.0

HpCD00780624,0.5,1.0

HpCD00780704,0.5,1.0

HpCD00780712,0.5,1.0

HpCD00780720,0.5,1.0

HpCD00780609,0.5,0.9966666666666667

HpCD00780617,0.5,0.9966666666666667

HpCD00780625,0.5,1.0

HpCD00780705,0.5066666666666667,0.99

HpCD00780713,0.5,1.0

HpCD00780721,0.5,1.0

HpCD00780610,0.5066666666666667,0.99

HpCD00780618,0.5066666666666667,0.9966666666666667

HpCD00780626,0.5033333333333333,0.9966666666666667

HpCD00780706,0.5033333333333333,0.9966666666666667

HpCD00780714,0.5033333333333333,0.9966666666666667

HpCD00780722,0.5066666666666667,0.99

HpCD00780611,0.5,1.0

HpCD00780619,0.5,1.0

HpCD00780627,0.5,1.0

HpCD00780707,0.5,1.0

HpCD00780715,0.5,0.9933333333333333

